Enakhra's Lament		Crafting:50;Firemaking:45;Magic:39;Mining:45;Prayer:43
Enlightened Journey		Quest point:20;Firemaking:20;Farming:30;Crafting:36
Ernest the Chicken
Ethically Acquired Antiquities
The Eyes of Glouphrie	The Grand Tree	Construction:5;Magic:46;Runecraft:13
Fairytale I - Growing Pains	Lost City;Nature Spirit
Fairytale II - Cure a Queen	Druidic Ritual;Fairytale I - Growing Pains	Farming:49;Herblore:57;Thieving:40
Family Crest		Crafting:40;Magic:59;Mining:40;Smithing:40
The Feud		Thieving:30
Fight Arena
Fishing Contest		Fishing:10
Forgettable Tale...	The Giant Dwarf;Fishing Contest	Cooking:22;Farming:17
The Forsaken Tower
The Fremennik Exiles
The Fremennik Isles	The Fremennik Trials	Construction:20;Crafting:46;Woodcutting:56
The Fremennik Trials
The Garden of Death		Farming:20
Garden of Tranquillity	Creature of Fenkenstrain	Farming:25
Gertrude's Cat
Getting Ahead
Ghosts Ahoy	Priest in Peril;The Restless Ghost	Agility:25;Cooking:20
The Giant Dwarf		Crafting:12;Firemaking:16;Magic:33;Thieving:14
Goblin Diplomacy
The Golem		Crafting:20;Thieving:25
The Grand Tree		Agility:25
The Great Brain Robbery		Crafting:16;Construction:30;Prayer:50
Grim Tales	Druidic Ritual;Witch's House	Agility:59;Farming:45;Herblore:52;Thieving:58;Woodcutting:71
The Hand in the Sand		Crafting:49;Thieving:17
Haunted Mine	Priest in Peril	Crafting:35
Hazeel Cult
The Heart of Darkness	Twilight's Promise	Mining:55;Thieving:48;Slayer:48;Agility:46
Heroes' Quest	Dragon Slayer I;Druidic Ritual;Lost City;Merlin's Crystal;Shield of Arrav	Quest point:55;Cooking:53;Fishing:53;Herblore:25;Mining:50
Holy Grail	Merlin's Crystal	Attack:20
Horror from the Deep	Alfred Grimhand's Barcrawl	Agility:35
Icthlarin's Little Helper	Gertrude's Cat
Imp Catcher
In Aid of the Myreque	In Search of the Myreque	Agility:25;Crafting:25;Magic:7;Mining:15
In Search of the Myreque	Nature Spirit	Agility:25
Jungle Potion	Druidic Ritual	Herblore:3
King's Ransom	Black Knights' Fortress;Holy Grail;Murder Mystery;One Small Favour	Defence:65;Magic:45
A Kingdom Divided	The Ascent of Arceuus;The Depths of Despair;Druidic Ritual;The Forsaken Tower;The Queen of Thieves;Tale of the Righteous	Agility:54;Crafting:38;Herblore:50;Magic:35;Mining:42;Thieving:52;Woodcutting:52
The Knight's Sword		Mining:10
Legends' Quest	Family Crest;Heroes' Quest;Shilo Village;Underground Pass;Waterfall Quest	Quest point:107;Agility:50;Crafting:50;Herblore:45;Magic:56;Mining:52;Prayer:42;Smithing:50;Strength:50;Thieving:50;Woodcutting:50
Lost City		Crafting:31;Woodcutting:36
The Lost Tribe	Goblin Diplomacy;Rune Mysteries	Agility:13;Mining:17;Thieving:13
Lunar Diplomacy	The Fremennik Trials;Lost City;Rune Mysteries;Shilo Village	Crafting:61;Defence:40;Firemaking:49;Herblore:5;Magic:65;Mining:60;Woodcutting:55
Making Friends with My Arm	Cold War;My Arm's Big Adventure;Romeo & Juliet;Swan Song	Agility:68;Construction:35;Firemaking:66;Mining:72
Making History	Priest in Peril;The Restless Ghost
Meat and Greet	Children of the Sun
Merlin's Crystal
Misthalin Mystery
Monk's Friend
Monkey Madness I	The Grand Tree;Tree Gnome Village
Monkey Madness II	Enlightened Journey;The Eyes of Glouphrie;Recipe for Disaster/Freeing King Awowogei;Troll Stronghold;Watchtower	Agility:55;Crafting:70;Firemaking:60;Hunter:60;Slayer:69;Thieving:55
Mountain Daughter		Agility:20
Mourning's End Part I	Big Chompy Bird Hunting;Roving Elves;Sheep Herder	Ranged:60;Thieving:50
Mourning's End Part II	Mourning's End Part I
Murder Mystery
My Arm's Big Adventure	Eadgar's Ruse;The Feud;Jungle Potion	Farming:29;Woodcutting:10
Nature Spirit	Priest in Peril;The Restless Ghost	Crafting:18
A Night at the Theatre	A Taste of Hope
Observatory Quest
Olaf's Quest	The Fremennik Trials	Firemaking:40;Woodcutting:50
One Small Favour	Rune Mysteries;Shilo Village	Agility:36;Crafting:25;Herblore:18;Smithing:30
The Path of Glouphrie
Perilous Moons
Pirate's Treasure
Plague City
A Porcine of Interest
Priest in Peril
Prince Ali Rescue
The Queen of Thieves	Client of Kourend	Thieving:20
Rag and Bone Man I
Rag and Bone Man II	The Fremennik Trials;Horror from the Deep;Rag and Bone Man I;Skippy and the Mogres;Started:Creature of Fenkenstrain;Started:Waterfall Quest;Started:Zogre Flesh Eaters	Defence:20;Slayer:40
Ratcatchers	Icthlarin's Little Helper;Started:The Giant Dwarf
Recipe for Disaster	Recipe for Disaster/Defeating the Culinaromancer
Recipe for Disaster/Another Cook's Quest	Cook's Assistant	Cooking:10
Recipe for Disaster/Freeing the Mountain Dwarf	Fishing Contest;Recipe for Disaster/Another Cook's Quest
Recipe for Disaster/Freeing the Goblin generals	Goblin Diplomacy;Recipe for Disaster/Another Cook's Quest
Recipe for Disaster/Freeing Pirate Pete	Recipe for Disaster/Another Cook's Quest	Cooking:31;Crafting:42;Smithing:31
Recipe for Disaster/Freeing the Lumbridge Guide	Big Chompy Bird Hunting;Biohazard;Demon Slayer;Murder Mystery;Nature Spirit;Recipe for Disaster/Another Cook's Quest;Witch's House	Cooking:40
Recipe for Disaster/Freeing Evil Dave	Gertrude's Cat;Recipe for Disaster/Another Cook's Quest;Shadow of the Storm	Cooking:25
Recipe for Disaster/Freeing Skrach Uglogwee	Big Chompy Bird Hunting;Recipe for Disaster/Another Cook's Quest	Cooking:41;Firemaking:20
Recipe for Disaster/Freeing Sir Amik Varze	Recipe for Disaster/Another Cook's Quest;Started:Legends' Quest
Recipe for Disaster/Freeing King Awowogei	Monkey Madness I;Recipe for Disaster/Another Cook's Quest	Agility:48;Cooking:70
Recipe for Disaster/Defeating the Culinaromancer	Desert Treasure I;Horror from the Deep;Recipe for Disaster/Freeing the Mountain Dwarf;Recipe for Disaster/Freeing the Goblin generals;Recipe for Disaster/Freeing Pirate Pete;Recipe for Disaster/Freeing the Lumbridge Guide;Recipe for Disaster/Freeing Evil Dave;Recipe for Disaster/Freeing Skrach Uglogwee;Recipe for Disaster/Freeing Sir Amik Varze;Recipe for Disaster/Freeing King Awowogei	Quest point:175
Recruitment Drive	Black Knights' Fortress;Druidic Ritual
Regicide	Underground Pass	Agility:56;Crafting:10
The Restless Ghost
The Ribbiting Tale of a Lily Pad Labour Dispute		Woodcutting:15
Romeo & Juliet
Roving Elves	Regicide;Waterfall Quest	Agility:56
Royal Trouble	Throne of Miscellania	Agility:40;Slayer:40
Rum Deal	Priest in Peril;Zogre Flesh Eaters	Crafting:42;Farming:40;Fishing:50;Prayer:47;Slayer:42
Rune Mysteries
Scorpion Catcher	Alfred Grimhand's Barcrawl	Prayer:31
Sea Slug		Firemaking:30
Secrets of the North		Agility:69;Thieving:64;Hunter:56
Shades of Mort'ton	Druidic Ritual;Priest in Peril	Crafting:20;Firemaking:5;Herblore:15
Shadow of the Storm	Demon Slayer;The Golem	Crafting:30
Sheep Herder
Sheep Shearer
Shield of Arrav
Shilo Village	Jungle Potion	Agility:32;Crafting:20;Smithing:4
Sins of the Father
The Slug Menace	Sea Slug;Wanted!	Crafting:30;Runecraft:30;Slayer:30;Thieving:30
Song of the Elves	Druidic Ritual
A Soul's Bane
Spirits of the Elid		Magic:33;Mining:37;Ranged:37;Thieving:37
Swan Song	Garden of Tranquillity;One Small Favour	Quest point:100;Cooking:62;Crafting:40;Firemaking:42;Fishing:62;Magic:66;Smithing:45
Tai Bwo Wannai Trio	Jungle Potion	Agility:15;Cooking:30;Fishing:5;Fishing:65;Herblore:34
A Tail of Two Cats	Icthlarin's Little Helper
Tale of the Righteous	Client of Kourend	Mining:10;Strength:16
A Taste of Hope	Darkness of Hallowvale;Druidic Ritual	Agility:45;Attack:40;Crafting:48;Herblore:40;Slayer:38
Tears of Guthix		Quest point:43;Crafting:20;Firemaking:49;Mining:20
Temple of Ikov		Ranged:40;Thieving:42
Temple of the Eye		Runecraft:10
Throne of Miscellania	The Fremennik Trials;Heroes' Quest
The Tourist Trap		Fletching:10;Smithing:20
Tower of Life		Construction:10
Tree Gnome Village
Tribal Totem		Thieving:21
Troll Romance	Troll Stronghold	Agility:28;Woodcutting:45
Troll Stronghold	Death Plateau	Agility:15
Twilight's Promise	Children of the Sun
Underground Pass	Biohazard	Ranged:25
Vampyre Slayer
Wanted!	The Lost Tribe;Priest in Peril;Recruitment Drive;Started:Enter the Abyss	Quest point:32
Watchtower	Druidic Ritual	Agility:25;Herblore:14;Magic:15;Mining:40;Thieving:15
Waterfall Quest
What Lies Below	Rune Mysteries	Runecraft:35
While Guthix Sleeps	Defender of Varrock;The Path of Glouphrie;Fight Arena;Dream Mentor;The Hand in the Sand;Wanted!;Temple of the Eye;Tears of Guthix;Nature Spirit;A Tail of Two Cats	Quest point:180;Thieving:72;Magic:67;Agility:66;Farming:65;Herblore:65;Hunter:62
Witch's Potion
Witch's House
X Marks the Spot
Zogre Flesh Eaters	Big Chompy Bird Hunting;Jungle Potion	Herblore:8;Ranged:30;Smithing:4
Bear Your Soul
Curse of the Empty Lord
His Faithful Servants	Priest in Peril
Hopespear's Will	Started:The Restless Ghost;Desert Treasure I;Fairytale II - Cure a Queen;Land of the Goblins
