# region	tier	task	RuneLite requirement expression
Ardougne	hard	Craft some Death runes from Essence.	new SkillRequirement(Skill.RUNECRAFT, 65), new QuestRequirement(Quest.MOURNINGS_END_PART_II)
Ardougne	elite	Catch a Manta ray in the Fishing Trawler and cook it in Port Khazard.	new SkillRequirement(Skill.FISHING, 81), new SkillRequirement(Skill.COOKING, 91)
Ardougne	elite	Picklock the door to the basement of Yanille Agility Dungeon.	new SkillRequirement(Skill.THIEVING, 82)
Ardougne	elite	Pickpocket a Hero.	new SkillRequirement(Skill.THIEVING, 80)
Ardougne	elite	Make a rune crossbow yourself from scratch within Witchaven or Yanille.	new SkillRequirement(Skill.CRAFTING, 10), new SkillRequirement(Skill.SMITHING, 91), new SkillRequirement(Skill.FLETCHING, 69)
Ardougne	elite	Imbue a Salve amulet at Nightmare Zone, or equip a Salve amulet that was imbued there.	new QuestRequirement(Quest.HAUNTED_MINE)
Ardougne	elite	Pick some Torstol from the patch north of Ardougne.	new SkillRequirement(Skill.FARMING, 85)
Ardougne	elite	Complete a lap of Ardougne's rooftop agility course.	new SkillRequirement(Skill.AGILITY, 90)
Ardougne	elite	Cast Ice Barrage on another player within Castle Wars.	new SkillRequirement(Skill.MAGIC, 94), new QuestRequirement(Quest.DESERT_TREASURE_I)
Desert	easy	Catch a Golden Warbler.	new SkillRequirement(Skill.HUNTER, 5)
Desert	easy	Mine 5 clay in the north-eastern desert.	new SkillRequirement(Skill.MINING, 5)
Desert	easy	Open the Sarcophagus in the first room of Pyramid Plunder.	new SkillRequirement(Skill.THIEVING, 21), new QuestRequirement(Quest.ICTHLARINS_LITTLE_HELPER, true)
Desert	medium	Climb to the summit of the Agility Pyramid.	new SkillRequirement(Skill.AGILITY, 30)
Desert	medium	Slay a desert lizard.	new SkillRequirement(Skill.SLAYER, 22)
Desert	medium	Catch an Orange Salamander.	new SkillRequirement(Skill.HUNTER, 47)
Desert	medium	Steal a feather from the Desert Phoenix.	new SkillRequirement(Skill.THIEVING, 25)
Desert	medium	Travel to Uzer via Magic Carpet.	new QuestRequirement(Quest.THE_GOLEM)
Desert	medium	Travel to the Desert via Eagle.	new QuestRequirement(Quest.EAGLES_PEAK)
Desert	medium	Pray at the Elidinis statuette in Nardah.	new QuestRequirement(Quest.SPIRITS_OF_THE_ELID)
Desert	medium	Create a combat potion in the desert.	new SkillRequirement(Skill.HERBLORE, 36)
Desert	medium	Teleport to Enakhra's Temple with the Camulet.	new QuestRequirement(Quest.ENAKHRAS_LAMENT)
Desert	medium	Visit the Genie.	new QuestRequirement(Quest.SPIRITS_OF_THE_ELID)
Desert	medium	Teleport to Pollnivneach with a redirected teleport to house tablet.	new SkillRequirement(Skill.CONSTRUCTION, 20)
Desert	medium	Chop some Teak logs near Uzer.	new SkillRequirement(Skill.WOODCUTTING, 35)
Desert	hard	Knock out and pickpocket a Menaphite Thug.	new SkillRequirement(Skill.THIEVING, 65), new QuestRequirement(Quest.THE_FEUD)
Desert	hard	Mine some Granite.	new SkillRequirement(Skill.MINING, 45)
Desert	hard	Refill your waterskins in the Desert using Lunar magic.	new SkillRequirement(Skill.MAGIC, 68), new QuestRequirement(Quest.DREAM_MENTOR)
Desert	hard	Complete a lap of the Pollnivneach agility course.	new SkillRequirement(Skill.AGILITY, 70)
Desert	hard	Slay a Dust Devil in the desert cave with a Slayer helmet equipped.	new SkillRequirement(Skill.SLAYER, 65), new SkillRequirement(Skill.DEFENCE, 10), new SkillRequirement(Skill.CRAFTING, 55), new QuestRequirement(Quest.DESERT_TREASURE_I, true)
Desert	hard	Activate Ancient Magicks at the altar in the Jaldraocht Pyramid.	new QuestRequirement(Quest.DESERT_TREASURE_I)
Desert	hard	Defeat a Locust Rider with Keris.	new SkillRequirement(Skill.ATTACK, 50), new QuestRequirement(Quest.CONTACT)
Desert	hard	Burn some yew logs on the Nardah Mayor's balcony.	new SkillRequirement(Skill.FIREMAKING, 60)
Desert	hard	Create a Mithril Platebody in Nardah.	new SkillRequirement(Skill.SMITHING, 68)
Desert	elite	Bake a wild pie at the Nardah Clay Oven.	new SkillRequirement(Skill.COOKING, 85)
Desert	elite	Cast Ice Barrage against a foe in the Desert.	new SkillRequirement(Skill.MAGIC, 94), new QuestRequirement(Quest.DESERT_TREASURE_I)
Desert	elite	Fletch some Dragon darts at the Bedabin Camp.	new SkillRequirement(Skill.FLETCHING, 95), new QuestRequirement(Quest.THE_TOURIST_TRAP)
Desert	elite	Speak to the KQ head in your POH.	new SkillRequirement(Skill.CONSTRUCTION, 78), new QuestRequirement(Quest.PRIEST_IN_PERIL)
Desert	elite	Steal from the Grand Gold Chest in the final room of Pyramid Plunder.	new SkillRequirement(Skill.THIEVING, 91), new QuestRequirement(Quest.ICTHLARINS_LITTLE_HELPER, true)
Desert	elite	Restore at least 85 Prayer points when praying at the Altar in Sophanem.	new SkillRequirement(Skill.PRAYER, 85), new QuestRequirement(Quest.ICTHLARINS_LITTLE_HELPER, true)
Falador	easy	Find out what your family crest is from Sir Renitee.	new SkillRequirement(Skill.CONSTRUCTION, 16)
Falador	easy	Climb over the western Falador wall.	new SkillRequirement(Skill.AGILITY, 5)
Falador	easy	Smith some Blurite Limbs on Doric's Anvil.	new SkillRequirement(Skill.MINING, 10), new SkillRequirement(Skill.SMITHING, 13), new QuestRequirement(Quest.THE_KNIGHTS_SWORD), new QuestRequirement(Quest.DORICS_QUEST)
Falador	medium	Light a Bullseye lantern at the Chemist's in Rimmington.	new SkillRequirement(Skill.FIREMAKING, 49)
Falador	medium	Telegrab some Wine of Zamorak at the Chaos Temple by the Wilderness.	new SkillRequirement(Skill.MAGIC, 33)
Falador	medium	Place a Scarecrow in the Falador farming patch.	new SkillRequirement(Skill.FARMING, 23)
Falador	medium	Kill a Mogre at Mudskipper Point.	new SkillRequirement(Skill.SLAYER, 32), new QuestRequirement(Quest.SKIPPY_AND_THE_MOGRES)
Falador	medium	Visit the Port Sarim Rat Pits.	new QuestRequirement(Quest.RATCATCHERS, true)
Falador	medium	Grapple up and then jump off the north Falador wall.	new SkillRequirement(Skill.AGILITY, 11), new SkillRequirement(Skill.STRENGTH, 37), new SkillRequirement(Skill.RANGED, 19)
Falador	medium	Pickpocket a Falador guard.	new SkillRequirement(Skill.THIEVING, 40)
Falador	medium	Pray at the Altar of Guthix in Taverley whilst wearing full Initiate.	new SkillRequirement(Skill.PRAYER, 10), new SkillRequirement(Skill.DEFENCE, 20), new QuestRequirement(Quest.RECRUITMENT_DRIVE)
Falador	medium	Mine some Gold ore at the Crafting Guild.	new SkillRequirement(Skill.CRAFTING, 40), new SkillRequirement(Skill.MINING, 40)
Falador	medium	Squeeze through the crevice in the Dwarven mines.	new SkillRequirement(Skill.AGILITY, 42)
Falador	medium	Chop and burn some Willow logs in Taverley	new SkillRequirement(Skill.WOODCUTTING, 30), new SkillRequirement(Skill.FIREMAKING, 30)
Falador	medium	Craft a fruit basket on the Falador Farm loom.	new SkillRequirement(Skill.CRAFTING, 36)
Falador	medium	Teleport to Falador.	new SkillRequirement(Skill.MAGIC, 37)
Falador	hard	Craft 140 Mind runes simultaneously from Essence without the use of Extracts.	new SkillRequirement(Skill.RUNECRAFT, 56)
Falador	hard	Change your family crest to the Saradomin symbol.	new SkillRequirement(Skill.PRAYER, 70)
Falador	hard	Kill a Skeletal Wyvern in the Asgarnia Ice Dungeon.	new SkillRequirement(Skill.SLAYER, 72)
Falador	hard	Complete a lap of the Falador rooftop agility course.	new SkillRequirement(Skill.AGILITY, 50)
Falador	hard	Enter the mining guild wearing a Prospector helmet.	new SkillRequirement(Skill.MINING, 60)
Falador	hard	Kill the Blue Dragon under the Heroes' Guild.	new QuestRequirement(Quest.HEROES_QUEST)
Falador	hard	Crack a wall safe within Rogues Den.	new SkillRequirement(Skill.THIEVING, 50)
Falador	hard	Recharge your prayer in the Port Sarim church while wearing full Proselyte.	new SkillRequirement(Skill.DEFENCE, 30), new QuestRequirement(Quest.THE_SLUG_MENACE)
Falador	hard	Equip a dwarven helmet within the dwarven mines.	new SkillRequirement(Skill.DEFENCE, 50), new QuestRequirement(Quest.GRIM_TALES)
Falador	elite	Craft 252 Air Runes simultaneously from Essence without the use of Extracts.	new SkillRequirement(Skill.RUNECRAFT, 88)
Falador	elite	Purchase a White 2h Sword from Sir Vyvin.	new QuestRequirement(Quest.WANTED)
Falador	elite	Find at least 3 magic roots at once when digging up your magic tree in Falador.	new SkillRequirement(Skill.FARMING, 91), new SkillRequirement(Skill.WOODCUTTING, 75)
Falador	elite	Jump over the strange floor in Taverley dungeon.	new SkillRequirement(Skill.AGILITY, 80)
Falador	elite	Mix a Saradomin brew in Falador east bank.	new SkillRequirement(Skill.HERBLORE, 81)
Fremennik	easy	Catch a Cerulean twitch.	new SkillRequirement(Skill.HUNTER, 11)
Fremennik	easy	Change your boots at Yrsa's Shoe Store.	new QuestRequirement(Quest.THE_FREMENNIK_TRIALS)
Fremennik	easy	Craft a tiara from scratch in Rellekka.	new SkillRequirement(Skill.CRAFTING, 23), new SkillRequirement(Skill.MINING, 20), new SkillRequirement(Skill.SMITHING, 20), new QuestRequirement(Quest.THE_FREMENNIK_TRIALS)
Fremennik	easy	Browse the Stonemasons shop.	new QuestRequirement(Quest.THE_GIANT_DWARF, true)
Fremennik	easy	Steal from the Keldagrim crafting or baker's stall.	new SkillRequirement(Skill.THIEVING, 5), new QuestRequirement(Quest.THE_GIANT_DWARF, true)
Fremennik	easy	Enter the Troll Stronghold.	new QuestRequirement(Quest.DEATH_PLATEAU), new QuestRequirement(Quest.TROLL_STRONGHOLD, true)
Fremennik	easy	Chop and burn some oak logs in the Fremennik Province.	new SkillRequirement(Skill.WOODCUTTING, 15), new SkillRequirement(Skill.FIREMAKING, 15)
Fremennik	medium	Slay a Brine rat.	new SkillRequirement(Skill.SLAYER, 47), new QuestRequirement(Quest.OLAFS_QUEST, true)
Fremennik	medium	Travel to the Snowy Hunter Area via Eagle.	new QuestRequirement(Quest.EAGLES_PEAK)
Fremennik	medium	Mine some coal in Rellekka.	new SkillRequirement(Skill.MINING, 30), new QuestRequirement(Quest.THE_FREMENNIK_TRIALS)
Fremennik	medium	Steal from the Rellekka Fish stalls.	new SkillRequirement(Skill.THIEVING, 42), new QuestRequirement(Quest.THE_FREMENNIK_TRIALS)
Fremennik	medium	Travel to Miscellania by Fairy ring.	new QuestRequirement(Quest.THE_FREMENNIK_TRIALS), new QuestRequirement(Quest.FAIRYTALE_II__CURE_A_QUEEN, true)
Fremennik	medium	Catch a Snowy knight.	new SkillRequirement(Skill.HUNTER, 35)
Fremennik	medium	Pick up your Pet Rock from your POH Menagerie.	new SkillRequirement(Skill.CONSTRUCTION, 37), new QuestRequirement(Quest.THE_FREMENNIK_TRIALS)
Fremennik	medium	Visit the Lighthouse from Waterbirth island.	new QuestRequirement(Quest.HORROR_FROM_THE_DEEP), new QuestRequirement(Quest.THE_FREMENNIK_TRIALS, true)
Fremennik	medium	Mine some gold at the Arzinian mine.	new SkillRequirement(Skill.MINING, 40), new QuestRequirement(Quest.BETWEEN_A_ROCK, true)
Fremennik	hard	Teleport to Trollheim.	new SkillRequirement(Skill.MAGIC, 61), new QuestRequirement(Quest.EADGARS_RUSE)
Fremennik	hard	Catch a Sabre-toothed Kyatt.	new SkillRequirement(Skill.HUNTER, 55)
Fremennik	hard	Mix a super defence potion in the Fremennik province.	new SkillRequirement(Skill.HERBLORE, 66)
Fremennik	hard	Steal from the Keldagrim Gem Stall.	new SkillRequirement(Skill.THIEVING, 75), new QuestRequirement(Quest.THE_GIANT_DWARF, true)
Fremennik	hard	Craft a Fremennik shield on Neitiznot.	new SkillRequirement(Skill.WOODCUTTING, 56), new QuestRequirement(Quest.THE_FREMENNIK_ISLES)
Fremennik	hard	Mine 5 Adamantite ores on Jatizso.	new SkillRequirement(Skill.MINING, 70), new QuestRequirement(Quest.THE_FREMENNIK_ISLES)
Fremennik	hard	Obtain 100% support from your kingdom subjects.	new QuestRequirement(Quest.THRONE_OF_MISCELLANIA)
Fremennik	hard	Teleport to Waterbirth Island.	new SkillRequirement(Skill.MAGIC, 72), new QuestRequirement(Quest.LUNAR_DIPLOMACY)
Fremennik	hard	Obtain the Blast Furnace Foreman's permission to use the Blast Furnace for free.	new SkillRequirement(Skill.SMITHING, 60), new QuestRequirement(Quest.THE_GIANT_DWARF, true)
Fremennik	elite	Craft 56 astral runes simultaneously from Essence without the use of Extracts.	new SkillRequirement(Skill.RUNECRAFT, 82), new QuestRequirement(Quest.LUNAR_DIPLOMACY)
Fremennik	elite	Create a dragonstone amulet in the Neitiznot furnace.	new SkillRequirement(Skill.CRAFTING, 80), new QuestRequirement(Quest.THE_FREMENNIK_ISLES, true)
Fremennik	elite	Complete a lap of the Rellekka agility course.	new SkillRequirement(Skill.AGILITY, 80)
Fremennik	elite	Kill the generals of Armadyl, Bandos, Saradomin and Zamorak in the God Wars Dungeon.	new SkillRequirement(Skill.AGILITY, 70), new SkillRequirement(Skill.STRENGTH, 70), new SkillRequirement(Skill.HITPOINTS, 70), new SkillRequirement(Skill.RANGED, 70), new QuestRequirement(Quest.TROLL_STRONGHOLD)
Fremennik	elite	Slay a Spiritual mage within the Godwars Dungeon.	new SkillRequirement(Skill.SLAYER, 83), new QuestRequirement(Quest.TROLL_STRONGHOLD)
Kandarin	easy	Catch a Mackerel at Catherby.	new SkillRequirement(Skill.FISHING, 16)
Kandarin	easy	Plant some Jute seeds in the patch north of McGrubor's Wood.	new SkillRequirement(Skill.FARMING, 13)
Kandarin	easy	Defeat one of each elemental in the workshop.	new QuestRequirement(Quest.ELEMENTAL_WORKSHOP_I, true)
Kandarin	easy	Cross the Coal truck log shortcut.	new SkillRequirement(Skill.AGILITY, 20)
Kandarin	medium	Complete a lap of the Barbarian agility course.	new SkillRequirement(Skill.AGILITY, 35), new QuestRequirement(Quest.ALFRED_GRIMHANDS_BARCRAWL)
Kandarin	medium	Create a Super Antipoison potion from scratch in the Seers/Catherby Area.	new SkillRequirement(Skill.HERBLORE, 48)
Kandarin	medium	Enter the Ranging guild.	new SkillRequirement(Skill.RANGED, 40)
Kandarin	medium	Use the grapple shortcut to get from the water obelisk to Catherby shore.	new SkillRequirement(Skill.AGILITY, 36), new SkillRequirement(Skill.STRENGTH, 22), new SkillRequirement(Skill.RANGED, 39)
Kandarin	medium	Catch and cook a Bass in Catherby.	new SkillRequirement(Skill.FISHING, 46), new SkillRequirement(Skill.COOKING, 43)
Kandarin	medium	Teleport to Camelot.	new SkillRequirement(Skill.MAGIC, 45)
Kandarin	medium	String a Maple shortbow in Seers' Village bank.	new SkillRequirement(Skill.FLETCHING, 50)
Kandarin	medium	Pick some Limpwurt root from the farming patch in Catherby.	new SkillRequirement(Skill.FARMING, 26)
Kandarin	medium	Create a Mind helmet.	new QuestRequirement(Quest.ELEMENTAL_WORKSHOP_II)
Kandarin	medium	Kill a Fire Giant inside Baxtorian Waterfall.	new QuestRequirement(Quest.WATERFALL_QUEST, true)
Kandarin	medium	Steal from the chest in Hemenster.	new SkillRequirement(Skill.THIEVING, 47)
Kandarin	medium	Travel to McGrubor's Wood by Fairy Ring.	new QuestRequirement(Quest.FAIRYTALE_II__CURE_A_QUEEN, true)
Kandarin	medium	Mine some coal near the coal trucks.	new SkillRequirement(Skill.MINING, 30)
Kandarin	hard	Catch a Leaping Sturgeon.	new SkillRequirement(Skill.FISHING, 70), new SkillRequirement(Skill.AGILITY, 45), new SkillRequirement(Skill.STRENGTH, 45)
Kandarin	hard	Complete a lap of the Seers' Village agility course.	new SkillRequirement(Skill.AGILITY, 60)
Kandarin	hard	Create a Yew Longbow from scratch around Seers' Village.	new SkillRequirement(Skill.WOODCUTTING, 60), new SkillRequirement(Skill.FLETCHING, 70), new SkillRequirement(Skill.CRAFTING, 10)
Kandarin	hard	Enter the Seers' Village courthouse with piety turned on.	new SkillRequirement(Skill.PRAYER, 70), new SkillRequirement(Skill.DEFENCE, 70), new QuestRequirement(Quest.KINGS_RANSOM)
Kandarin	hard	Charge a Water Orb.	new SkillRequirement(Skill.MAGIC, 56)
Kandarin	hard	Burn some Maple logs with a bow in Seers' Village.	new SkillRequirement(Skill.FIREMAKING, 65)
Kandarin	hard	Kill a Shadow Hound in the Shadow dungeon.	new SkillRequirement(Skill.THIEVING, 53), new QuestRequirement(Quest.DESERT_TREASURE_I, true)
Kandarin	hard	Purchase and equip a granite body from Barbarian Assault.	new SkillRequirement(Skill.STRENGTH, 50), new SkillRequirement(Skill.DEFENCE, 50)
Kandarin	hard	Have the Seers' estate agent decorate your house with Fancy Stone.	new SkillRequirement(Skill.CONSTRUCTION, 50)
Kandarin	hard	Smith an Adamant spear at Otto's Grotto.	new SkillRequirement(Skill.SMITHING, 75), new QuestRequirement(Quest.TAI_BWO_WANNAI_TRIO)
Kandarin	elite	Pick some Dwarf weed from the herb patch at Catherby.	new SkillRequirement(Skill.FARMING, 79)
Kandarin	elite	Fish and Cook 5 Sharks in Catherby using the Cooking gauntlets.	new SkillRequirement(Skill.FISHING, 76), new SkillRequirement(Skill.COOKING, 80), new QuestRequirement(Quest.FAMILY_CREST)
Kandarin	elite	Mix a Stamina Mix on top of the Seers' Village bank.	new SkillRequirement(Skill.HERBLORE, 86), new SkillRequirement(Skill.AGILITY, 60)
Kandarin	elite	Smith a Rune Hasta at Otto's Grotto.	new SkillRequirement(Skill.SMITHING, 90)
Kandarin	elite	Construct a Pyre ship from Magic Logs.(Requires Chewed Bones.)	new SkillRequirement(Skill.FIREMAKING, 85), new SkillRequirement(Skill.CRAFTING, 85)
Kandarin	elite	Teleport to Catherby.	new SkillRequirement(Skill.MAGIC, 87), new QuestRequirement(Quest.LUNAR_DIPLOMACY)
Karamja	easy	Use the rope swing to travel to the small island north-west of Karamja, where the 	+ "moss giants are.", new SkillRequirement(Skill.AGILITY, 10)
Karamja	easy	Mine some gold from the rocks on the north-west peninsula of Karamja.	new SkillRequirement(Skill.MINING, 40)
Karamja	easy	Explore Cairn Island to the west of Karamja.	new SkillRequirement(Skill.AGILITY, 15)
Karamja	medium	Claim a ticket from the Agility Arena in Brimhaven.	new SkillRequirement(Skill.AGILITY, 30)
Karamja	medium	Discover hidden wall in the dungeon below the volcano.	new QuestRequirement(Quest.DRAGON_SLAYER_I, true)
Karamja	medium	Visit the Isle of Crandor via the dungeon below the volcano.	new QuestRequirement(Quest.DRAGON_SLAYER_I, true)
Karamja	medium	Use Vigroy and Hajedy's cart service.	new QuestRequirement(Quest.SHILO_VILLAGE)
Karamja	medium	Earn 100% favour in the village of Tai Bwo Wannai.	new SkillRequirement(Skill.WOODCUTTING, 10), new QuestRequirement(Quest.JUNGLE_POTION)
Karamja	medium	Cook a spider on a stick.	new SkillRequirement(Skill.COOKING, 16)
Karamja	medium	Charter the Lady of the Waves from Cairn Isle to Port Khazard.	new QuestRequirement(Quest.SHILO_VILLAGE)
Karamja	medium	Cut a log from a teak tree.	new SkillRequirement(Skill.WOODCUTTING, 35), new QuestRequirement(Quest.JUNGLE_POTION)
Karamja	medium	Cut a log from a mahogany tree.	new SkillRequirement(Skill.WOODCUTTING, 50), new QuestRequirement(Quest.JUNGLE_POTION)
Karamja	medium	Catch a karambwan.	new SkillRequirement(Skill.FISHING, 65), new QuestRequirement(Quest.TAI_BWO_WANNAI_TRIO, true)
Karamja	medium	Exchange gems for a machete.	new QuestRequirement(Quest.JUNGLE_POTION)
Karamja	medium	Use the gnome glider to travel to Karamja.	new QuestRequirement(Quest.THE_GRAND_TREE)
Karamja	medium	Grow a healthy fruit tree in the patch near Brimhaven.	new SkillRequirement(Skill.FARMING, 27)
Karamja	medium	Trap a horned graahk.	new SkillRequirement(Skill.HUNTER, 41)
Karamja	medium	Chop the vines to gain deeper access to Brimhaven Dungeon.	new SkillRequirement(Skill.WOODCUTTING, 10)
Karamja	medium	Cross the lava using the stepping stones within Brimhaven Dungeon.	new SkillRequirement(Skill.AGILITY, 12)
Karamja	medium	Climb the stairs within Brimhaven Dungeon.	new SkillRequirement(Skill.WOODCUTTING, 10)
Karamja	medium	Charter a ship from the shipyard in the far east of Karamja.	new QuestRequirement(Quest.THE_GRAND_TREE)
Karamja	medium	Mine a red topaz from a gem rock.	new SkillRequirement(Skill.MINING, 40), new OrRequirement( new QuestRequirement(Quest.SHILO_VILLAGE), new QuestRequirement(Quest.JUNGLE_POTION) )
Karamja	hard	Craft some nature runes from Essence.	new SkillRequirement(Skill.RUNECRAFT, 44)
Karamja	hard	Cook a karambwan thoroughly.	new SkillRequirement(Skill.COOKING, 30), new QuestRequirement(Quest.TAI_BWO_WANNAI_TRIO)
Karamja	hard	Kill a deathwing in the dungeon under the Kharazi Jungle.	new SkillRequirement(Skill.WOODCUTTING, 15), new SkillRequirement(Skill.STRENGTH, 50), new SkillRequirement(Skill.AGILITY, 50), new SkillRequirement(Skill.THIEVING, 50), new SkillRequirement(Skill.MINING, 52), new QuestRequirement(Quest.LEGENDS_QUEST)
Karamja	hard	Use the crossbow shortcut south of the volcano.	new SkillRequirement(Skill.AGILITY, 53), new SkillRequirement(Skill.RANGED, 42), new SkillRequirement(Skill.STRENGTH, 21)
Karamja	hard	Collect 5 palm leaves.	new SkillRequirement(Skill.WOODCUTTING, 15), new QuestRequirement(Quest.LEGENDS_QUEST)
Karamja	hard	Be assigned a Slayer task by the Slayer Master in Shilo Village.	new CombatLevelRequirement(100), new SkillRequirement(Skill.SLAYER, 50), new QuestRequirement(Quest.SHILO_VILLAGE)
Karamja	elite	Craft 56 Nature runes simultaneously from Essence without the use of Extracts.	new SkillRequirement(Skill.RUNECRAFT, 91)
Karamja	elite	Check the health of a palm tree in Brimhaven.	new SkillRequirement(Skill.FARMING, 68)
Karamja	elite	Create an antivenom potion whilst standing in the horse shoe mine.	new SkillRequirement(Skill.HERBLORE, 87)
Karamja	elite	Check the health of your Calquat tree patch.	new SkillRequirement(Skill.FARMING, 72)
Kourend & Kebos	easy	Mine some Iron at the Mount Karuulm mine.	new SkillRequirement(Skill.MINING, 15)
Kourend & Kebos	easy	Steal from a Hosidius Food Stall.	new SkillRequirement(Skill.THIEVING, 25)
Kourend & Kebos	easy	Enter your Player Owned House from Hosidius.	new SkillRequirement(Skill.CONSTRUCTION, 25)
Kourend & Kebos	easy	Create a Strength potion in the Lovakengj Pub.	new SkillRequirement(Skill.HERBLORE, 12)
Kourend & Kebos	easy	Fish a Trout from the River Molch.	new SkillRequirement(Skill.FISHING, 20)
Kourend & Kebos	medium	Travel to the Fairy Ring south of Mount Karuulm.	new QuestRequirement(Quest.FAIRYTALE_II__CURE_A_QUEEN, true)
Kourend & Kebos	medium	Use Kharedst's memoirs to teleport to all five cities in Great Kourend.	new QuestRequirement(Quest.THE_DEPTHS_OF_DESPAIR), new QuestRequirement(Quest.THE_QUEEN_OF_THIEVES), new QuestRequirement(Quest.TALE_OF_THE_RIGHTEOUS), new QuestRequirement(Quest.THE_FORSAKEN_TOWER), new QuestRequirement(Quest.THE_ASCENT_OF_ARCEUUS)
Kourend & Kebos	medium	Mine some Volcanic sulphur.	new SkillRequirement(Skill.MINING, 42)
Kourend & Kebos	medium	Enter the Farming Guild.	new SkillRequirement(Skill.FARMING, 45)
Kourend & Kebos	medium	Repair a Piscarilius crane.	new SkillRequirement(Skill.CRAFTING, 30), new SkillRequirement(Skill.CONSTRUCTION, 30)
Kourend & Kebos	medium	Catch a Bluegill on Molch Island.	new SkillRequirement(Skill.FISHING, 43), new SkillRequirement(Skill.HUNTER, 35)
Kourend & Kebos	medium	Use the boulder leap in the Arceuus essence mine.	new SkillRequirement(Skill.AGILITY, 49)
Kourend & Kebos	medium	Subdue the Wintertodt.	new SkillRequirement(Skill.FIREMAKING, 50)
Kourend & Kebos	medium	Catch a Chinchompa in the Kourend Woodland.	new SkillRequirement(Skill.HUNTER, 53), new QuestRequirement(Quest.EAGLES_PEAK)
Kourend & Kebos	medium	Chop some Mahogany logs north of the Farming Guild.	new SkillRequirement(Skill.WOODCUTTING, 50)
Kourend & Kebos	hard	Enter the Woodcutting Guild.	new SkillRequirement(Skill.WOODCUTTING, 60)
Kourend & Kebos	hard	Smelt an Adamantite bar in The Forsaken Tower.	new SkillRequirement(Skill.SMITHING, 70), new QuestRequirement(Quest.THE_FORSAKEN_TOWER, true)
Kourend & Kebos	hard	Mine some Lovakite.	new SkillRequirement(Skill.MINING, 65)
