# RuneLite STASH identity	location	authoritative emote/equipment evidence
NEAR_A_SHED_IN_LUMBRIDGE_SWAMP	Lumbridge swamp	Dance in the shack in Lumbridge Swamp. Equip a bronze dagger, iron full helmet and a gold ring.
OBSERVATORY	Observatory	Think in the centre of the Observatory. Spin before you talk to me. Equip a mithril chain body, green dragonhide chaps and a ruby amulet.
OGRE_CAGE_IN_KING_LATHAS_TRAINING_CAMP	King Lathas' camp	Cheer in the Ogre Pen in the Training Camp. Show you are angry before you talk to me. Equip a green dragonhide body and chaps and a steel square shield.
DIGSITE	Digsite	Beckon in the Digsite, near the eastern winch. Bow before you talk to me. Equip a green gnome hat, snakeskin boots and an iron pickaxe.
HICKTONS_ARCHERY_EMPORIUM	Catherby	Cry in the Catherby Ranging shop. Bow before you talk to me. Equip blue gnome boots, a hard leather body and an unblessed silver sickle.
SHANTAY_PASS	Shantay Pass	Dance a jig under Shantay's Awning. Bow before you talk to me. Equip a pointed blue snail helmet, an air staff and a bronze square shield.
LUMBRIDGE_SWAMP_CAVES	Lumbridge swamp caves	Dance in the dark caves beneath Lumbridge Swamp. Blow a kiss before you talk to me. Equip an air staff, Bronze full helm and an amulet of power.
OUTSIDE_CATHERBY_BANK	Catherby	Shrug in Catherby bank. Yawn before you talk to me. Equip a maple longbow, green d'hide chaps and an iron med helm.
OUTSIDE_THE_SEERS_VILLAGE_COURTHOUSE	Seers Village	Clap in Seers court house. Spin before you talk to me. Equip an adamant halberd, blue mystic robe bottom and a diamond ring.
OUTSIDE_HARRYS_FISHING_SHOP_IN_CATHERBY	Catherby	Cry on the shore of Catherby beach. Laugh before you talk to me, equip an adamant sq shield, a bone dagger and mithril platebody.
TZHAAR_WEAPONS_STORE	Tzhaar weapon store	Jump for joy in the TzHaar sword shop. Shrug before you talk to me. Equip a Steel longsword, Blue D'hide body and blue mystic gloves.
NORTH_OF_EVIL_DAVES_HOUSE_IN_EDGEVILLE	Edgeville	Cheer in the Edgeville general store. Dance before you talk to me. Equip a brown apron, leather boots and leather gloves.
WEST_OF_THE_SHAYZIEN_COMBAT_RING	Shayzien Combat Ring	Beckon in the Shayzien Combat Ring. Show your anger before you talk to me. Equip an adamant platebody, adamant full helm and adamant platelegs.
ENTRANCE_OF_THE_ARCEUUS_LIBRARY	Arceuus library	Yawn in the centre of the Arceuus Library. Nod your head before you talk to me. Equip blue dragonhide vambraces, adamant boots and an adamant dagger.
OUTSIDE_DRAYNOR_VILLAGE_JAIL	Draynor Village jail	Cry in the Draynor Village jail. Jump for joy before you talk to me. Equip an adamant sword, a sapphire amulet and an adamant plateskirt.
EAST_OF_THE_LEVEL_19_WILDERNESS_OBELISK	East of the Level 19 Wilderness Obelisk	Shrug in the woods east of the Level 19 Wilderness Obelisk. Beware of double agents! Equip rune platelegs, an iron platebody and blue dragonhide vambraces.
FISHING_GUILD_BANK	Fishing Guild	Blow a raspberry in the Fishing Guild bank. Beware of double agents! Equip an elemental shield, blue dragonhide chaps and a rune warhammer.
TOP_FLOOR_OF_THE_LIGHTHOUSE	Lighthouse	Bow at the top of the lighthouse. Beware of double agents! Equip a blue dragonhide body, blue dragonhide vambraces and no jewelry.
OUTSIDE_THE_GREAT_PYRAMID_OF_SOPHANEM	Pyramid Of Sophanem	Dance at the cat-doored pyramid in Sophanem. Beware of double agents! Equip a ring of life, an uncharged amulet of glory and an adamant two-handed sword.
NOTERAZZOS_SHOP_IN_THE_WILDERNESS	Rogues general store	Yawn in the rogues' general store. Beware of double agents! Equip an adamant square shield, blue dragon vambraces and a rune pickaxe.
WEST_SIDE_OF_THE_KARAMJA_BANANA_PLANTATION	Karamja	Salute in the banana plantation. Beware of double agents! Equip a diamond ring, amulet of power, and nothing on your chest and legs.
MOUNTAIN_CAMP_GOAT_ENCLOSURE	Mountain Camp	Laugh in Jokul's tent in the Mountain Camp. Beware of double agents! Equip a rune full helmet, blue dragonhide chaps and a fire battlestaff.
GNOME_GLIDER_ON_WHITE_WOLF_MOUNTAIN	White Wolf Mountain	Panic by the pilot on White Wolf Mountain. Beware of double agents! Equip mithril platelegs, a ring of life and a rune axe.
SHILO_VILLAGE_BANK	Shilo Village	Blow a kiss between the tables in Shilo Village bank. Beware of double agents! Equip a blue mystic hat, bone spear and rune platebody.
INSIDE_THE_DIGSITE_EXAM_CENTRE	Exam Centre	Headbang at the exam centre. Beware of double agents! Equip a mystic fire staff, a diamond bracelet and rune boots.
NORTHEAST_CORNER_OF_THE_KHARAZI_JUNGLE	Kharazi Jungle	Beckon on the east coast of the Kharazi Jungle. Beware of double agents! Equip any vestment stole and a heraldic rune shield.
VOLCANO_IN_THE_NORTHEASTERN_WILDERNESS	Wilderness volcano	Panic on the Wilderness volcano bridge. Beware of double agents! Equip any headband and crozier.
IN_THE_MIDDLE_OF_JIGGIG	Jiggig	Jig at Jiggig. Beware of double agents! Equip a Rune spear, rune platelegs and any rune heraldic helm.
AGILITY_PYRAMID	Agility Pyramid	Cheer at the top of the agility pyramid. Beware of double agents! Equip a blue mystic robe top and any rune heraldic shield.
HOSIDIUS_MESS	Hosidius mess hall	Salute in the centre of the mess hall. Beware of double agents! Equip a rune halberd rune platebody and an amulet of strength.
CHAPEL_IN_WEST_ARDOUGNE	West Ardougne Church	Spin in West Ardougne Church. Equip a dragon spear and red dragonhide chaps.
NEAR_A_RUNITE_ROCK_IN_THE_FREMENNIK_ISLES	Fremennik Isles	Jump for joy at the Neitiznot rune rock. Equip Rune boots, a proselyte hauberk and a dragonstone ring.
NEAR_A_LADDER_IN_THE_WILDERNESS_LAVA_MAZE	Lava maze	Blow a kiss in the heart of the lava maze. Equip black dragonhide chaps, a spotted cape and a rolling pin.
ENTRANCE_OF_THE_CAVE_OF_DAMIS	Shadow dungeon	Cheer in the Shadow dungeon. Equip a rune crossbow, climbing boots and any mitre.
WARRIORS_GUILD_BANK	Warriors' guild	Salute in the Warriors' Guild bank. Equip only a black salamander.
SOUTHEAST_CORNER_OF_THE_MONASTERY	Edgeville Monastery	Bow upstairs in the Edgeville Monastery. Equip a completed prayer book.
SOUTHEAST_CORNER_OF_THE_FISHING_PLATFORM	Fishing Platform	Dance on the Fishing Platform. Equip barrows gloves, an amulet of glory and a dragon med helm.
OUTSIDE_THE_SLAYER_TOWER_GARGOYLE_ROOM	Slayer Tower	Headbang at the top of Slayer Tower. Equip a seercull, a combat bracelet and helm of Neitiznot.
ON_TOP_OF_TROLLHEIM_MOUNTAIN	Trollheim Mountain	Yawn at the top of Trollheim. Equip a lava battlestaff, black dragonhide vambraces and a mind shield.
FOUNTAIN_OF_HEROES	Fountain of heroes	Laugh by the fountain of heroes. Equip splitbark legs, dragon boots and a Rune longsword.
ENTRANCE_OF_THE_CAVERN_UNDER_THE_WHIRLPOOL	Ancient cavern	Jump for joy in the Ancient Cavern. Equip a granite shield, splitbark body and any rune heraldic helm.
HALFWAY_DOWN_TROLLWEISS_MOUNTAIN	Trollweiss mountain	Panic at the area flowers meet snow. Equip Blue D'hide vambraces, a dragon spear and a rune plateskirt.
SHAYZIEN_WAR_TENT	Shayzien war tent	Shrug in the Shayzien war tent. Equip a blue mystic robe bottom, a rune kiteshield and any bob shirt.
OUTSIDE_THE_LEGENDS_GUILD_DOOR	Legend's Guild	Bow on the ground floor of the Legends' Guild. Equip a Cape of Legends, a dragon battleaxe and an amulet of glory.
NEAR_THE_GEM_STALL_IN_ARDOUGNE_MARKET	Ardougne	Laugh in front of the gem store in Ardougne market. Equip a Castlewars bracelet, a dragonstone amulet and a ring of forging.
OUTSIDE_THE_BAR_BY_THE_FIGHT_ARENA	Fight Arena pub	Headbang in the Fight Arena pub. Equip a pirate bandana, a dragonstone necklace and and a magic longbow.
SOUTHEAST_CORNER_OF_LAVA_DRAGON_ISLE	Lava dragon isle	Panic by the big egg where no one dare goes and the ground is burnt. Beware of double agents! Equip a dragon med helm, a TokTz-Ket-Xil, a brine sabre, rune platebody and an uncharged amulet of glory.
NEAR_THE_PIER_IN_ZULANDRA	Zul-Andra	Jump for joy in the centre of Zul-Andra. Beware of double agents! Equip a dragon 2h sword, bandos boots and an obsidian cape.
BARROWS_CHEST	Barrows chest	Do a jig at the barrows chest. Beware of double agents! Equip any full barrows set.
WELL_OF_VOYAGE	Iban's temple	Dance in Iban's temple. Beware of double agents! Equip Iban's staff, a black mystic top and a black mystic bottom.
NORTHERN_WALL_OF_CASTLE_DRAKAN	Castle Drakan	Wave on the northern wall of Castle Drakan. Beware of double agents! Wear a dragon sq shield, splitbark body and any boater.
_7TH_CHAMBER_OF_JALSAVRAH	Pyramid Plunder	Yawn in the 7th room of Pyramid Plunder. Beware of double agents! Equip a pharaoh sceptre and a full set of menaphite robes.
SOUL_ALTAR	Soul altar	Spin in front of the Soul altar. Beware of double agents! Equip a dragon pickaxe, helm of neitiznot and a pair of rune boots.
WARRIORS_GUILD_BANK_29047	Warriors' guild	Blow a raspberry in the bank of the Warriors' Guild. Beware of double agents! Equip a dragon battleaxe, a slayer helm of any kind and a dragon defender or avernic defender.
ENTRANA_CHAPEL	Entrana church	Cheer in the Entrana church. Beware of double agents! Equip a full set of black dragonhide armour.
TZHAAR_GEM_STORE	Tzhaar gem store	Cry in the TzHaar gem store. Beware of double agents! Equip a fire cape and TokTz-Xil-Ul.
TENT_IN_LORD_IORWERTHS_ENCAMPMENT	Lord Iorwerth's camp	Bow near Lord Iorwerth. Beware of double agents! Equip a charged crystal bow.
OUTSIDE_MUDKNUCKLES_HUT	Goblin Village	Goblin Salute in the Goblin Village. Beware of double agents! Equip a bandos godsword, a bandos cloak and a bandos platebody.
CENTRE_OF_THE_CATACOMBS_OF_KOUREND	Kourend catacombs	Slap your head in the centre of the Kourend catacombs. Beware of double agents! Equip arclight or emberlight along with the amulet of the damned.
KING_BLACK_DRAGONS_LAIR	King black dragon's lair	Dance in the King Black Dragon's lair. Beware of double agents! Equip a black dragonhide body, black dragonhide vambraces and a black dragon mask.
OUTSIDE_KRIL_TSUTSAROTHS_ROOM	K'ril's chamber	Blow a kiss outside K'ril Tsutsaroth's chamber. Beware of double agents! Equip a zamorak full helm and the shadow sword.
BY_THE_BEAR_CAGE_IN_VARROCK_PALACE_GARDENS	Varrock Castle	Show your anger towards the Statue of Saradomin in Ellamaria's garden. Beware of double agents! Equip a zamorak godsword.
OUTSIDE_THE_WILDERNESS_AXE_HUT	Magic axe hut	Clap in the magic axe hut. Beware of double agents! Equip only some flared trousers.
TOP_FLOOR_OF_THE_YANILLE_WATCHTOWER	Yanille Watchtower	Swing a bullroarer at the top of the Watchtower. Beware of double agents! Equip a dragon plateskirt, climbing boots and a dragon chainbody.
DEATH_ALTAR	Death altar	Flap at the death altar. Beware of double agents! Equip a death tiara, a legend's cape and any ring of wealth.
BEHIND_MISS_SCHISM_IN_DRAYNOR_VILLAGE	Draynor Village	Show your anger at the Wise old man. Beware of double agents! Equip an abyssal whip, a legend's cape and some spined chaps.
NORTHWESTERN_CORNER_OF_THE_ENCHANTED_VALLEY	Enchanted Valley (BKQ)	Stamp in the Enchanted valley west of the waterfall. Beware of double agents! Equip a dragon axe.
NORTH_OF_MOUNT_KARUULM	Mount Karuulm	Clap your hands north of Mount Karuulm Spin before you talk to me. Equip an adamant warhammer, a ring of life and a pair of mithril boots.
GYPSY_TENT_ENTRANCE	Varrock	Blow a raspberry at Aris in her tent. Equip a gold ring and a gold necklace.
FINE_CLOTHES_ENTRANCE	Varrock	Cheer at Iffie Nitter. Equip a chef hat and a red cape.
BOB_AXES_ENTRANCE	Lumbridge	Clap at Bob's Brilliant Axes. Equip a bronze axe and leather boots.
CRYSTALLINE_MAPLE_TREES	North of Prifddinas	Beckon by a collection of crystalline maple trees. Beware of double agents! Equip Bryophyta's staff and a nature tiara.
CHARCOAL_BURNERS	Charcoal Burners	Salute by the Charcoal Burners. Equip a Farmer's strawhat, Shayzien platebody (5) and Pyromancer robes.
FORTIS_GRAND_MUSEUM	Fortis Grand Museum	Yawn in the Fortis Grand Museum. Equip an emerald necklace, blue skirt, and turqoise gnome robe top.
TEMPLE_SOUTHEAST_OF_THE_BAZAAR	Civitas illa Fortis	Bow within the temple in Civitas illa Fortis. Equip any piece of sunfire fanatic armour.
CAM_TORUM_ENTRANCE	Cam Torum	Salute outside the gates of Cam Torum. Beware of double agents! Equip a full set of blue moon equipment.
WESTERN_SALVAGER_OVERLOOK	Salvager Overlook	Think on the western coast of Salvager Overlook. Beware of double agents! Equip a Hueycoatl hide coif and some Hueycoatl hide vambraces.
TWILIGHT_TEMPLE_MINE	Twilight Temple	Jump for Joy in the mine near the Twilight Temple. Bow before you talk to me. Equip a maple longbow, a ruby amulet and some steel platelegs.
ORTUS_MEETS_PROUDSPIRE	East of The Proudspire	Nod your head where the River Ortus meets the Proudspire. Indicate 'no' before you talk to me. Equip a blue wizard hat, a blue wizard robe and wear nothing on your legs.
OUTSIDE_TWILIGHT_TEMPLE	Twilight Temple	Panic outside the Twilight Temple. Beware of double agents! Equip a rune longsword, rune platebody and a rune plateskirt.
PANDEMONIUM_BAR	Pandemonium	Dance a jig behind the bar on the Pandemonium. Equip a right eye patch and a bronze scimitar.
WINTUMBER_ISLAND	Wintumber Island	Do the crab dance by the monument on Wintumber Island. Equip a crab helmet and a crab claw.
BRITTLE_ISLE	Brittle Isle	Bow in front of the cave on Brittle Isle. Beware of double agents! Equip a Medallion of the Deep and a rosewood blowpipe.
